Age,Months_as_a_Customer,Number_of_Products,RFM_Score,Average_Balance_Feed_Index,Number_of_Transactions,Personal_Debt_to_Equity_Ratio,Months_Current_Account,Number_of_Loan_Accounts,Customer_ID,Has_Bad_Payment_Record,Members_Within_Household,Number_of_Call_Center_Contacts,Gender,Marital_Status,Age_Youngest_Child,Number_of_Workers_in_Household,Percentage_White_Collar_Workers,Household_Debt_to_Equity_Ratio,Income,Weeks_Since_Last_Offer,Homeowner,Accepted_Personal_Loan,Accepted_Retention,Accepted_Home_Equity_Loan,Accepted_Credit_Card,Annual_value,Interested_in_Personal_Loan,Interested_in_Retention,Interested_in_Home_Equity_Loan,Interested_in_Credit_Card
64,24,0,0,0,0,64,14,0,5747,0,7,0,F,S,31,14,23,62,61260,48,T,F,F,F,F,0,F,F,F,F
43,12,2,12.719,219,1,43,7,1,5832,0,3,8,F,M,14,12,42,44,59133,32,F,F,F,F,F,160,F,F,F,F
37,12,0,0,0,0,37,6,3,5803,0,5,10,M,U,10,16,37,45,33549,14,F,T,F,F,F,300,F,F,F,F
35,24,4,10.745667,279,1,35,19,0,5833,0,3,8,F,U,6,14,44,40,56458,28,F,F,F,F,F,120,F,F,F,F
59,12,3,7.584,84,1,59,8,0,5960,0,4,11,F,M,29,10,24,65,36927,46,F,F,T,T,F,90,F,F,F,F
15,36,2,9.772333,139,1,15,26,0,323,0,3,11,F,S,0,7,27,64,37502,49,F,F,F,F,T,60,F,F,T,F
52,24,0,0,0,0,52,12,3,442,0,6,10,F,M,21,11,36,51,43484,41,F,F,F,F,F,300,F,T,F,F
41,24,2,11.81999,120,1,41,20,0,6101,0,3,11,F,S,7,4,36,58,55328,30,F,T,T,T,T,60,F,F,F,F
78,0,0,0,0,0,78,-5,0,6331,0,3,9,M,U,49,7,31,61,62274,9,T,F,F,F,T,0,F,F,F,F
37,24,0,0,0,0,37,16,0,6366,0,3,10,F,U,6,14,44,40,56458,12,T,F,F,F,F,0,F,F,F,F
58,12,0,0,0,0,58,5,0,539,0,7,8,M,S,31,11,26,61,42991,43,F,F,F,F,F,0,F,F,F,T
48,36,5,12.762313,229,3,48,33,0,6337,0,5,11,F,U,23,12,43,44,54415,5,F,F,F,F,F,150,F,F,F,F
32,24,0,0,0,0,32,13,4,742,0,2,10,M,S,0,15,34,50,26710,49,F,F,T,F,F,400,F,F,F,T
49,0,0,0,0,0,49,-2,5,959,0,4,5,F,S,22,10,32,56,64222,42,F,F,F,F,F,500,F,F,F,F
52,36,4,7.865667,699,1,52,27,1,6882,0,6,10,F,M,22,8,46,45,25176,31,T,F,F,F,F,220,F,T,F,F
20,12,0,0,0,0,20,5,0,6946,0,5,7,F,S,0,7,33,58,65263,33,F,T,F,F,T,0,F,F,T,F
42,0,0,0,0,0,42,-4,4,7068,0,3,9,M,U,10,10,24,65,59379,50,F,F,F,F,F,400,F,F,T,F
28,24,2,8.85399,154,2,28,17,1,7100,0,2,6,F,S,0,10,36,52,43935,25,F,F,F,F,F,160,F,F,F,F
28,24,0,0,0,0,28,12,2,7186,0,4,0,M,S,0,14,29,55,69766,9,T,F,F,F,F,200,T,F,F,F
41,36,0,0,0,0,41,24,1,7266,0,1,0,F,M,13,7,39,52,30933,10,F,F,F,F,F,100,F,F,F,F
28,0,0,0,0,0,28,-1,0,6989,0,1,0,M,S,0,18,18,63,52174,35,F,F,F,F,T,0,F,F,F,F
49,36,0,0,0,0,49,25,1,7048,0,2,0,M,M,18,14,26,59,39840,2,F,T,F,F,F,100,F,F,F,F
43,24,3,8.966657,100,1,43,18,0,7367,0,2,11,M,S,15,9,42,48,53970,10,T,T,F,F,F,90,F,F,T,F
44,12,0,0,0,0,44,10,1,10692,0,3,10,F,M,13,7,39,52,30933,4,F,F,T,F,F,100,F,F,F,F
40,48,0,0,0,0,40,36,2,1478,0,2,4,F,M,10,8,44,47,48069,2,F,F,F,F,F,200,F,F,F,F
43,24,0,0,0,0,43,17,1,1644,0,6,10,M,S,12,10,36,53,72513,31,T,F,F,F,F,100,F,F,F,F
22,0,0,0,0,0,22,-2,2,10844,0,6,8,M,S,0,8,32,59,79747,3,F,F,F,F,F,200,F,F,F,T
32,0,0,0,0,0,32,-4,1,37,0,1,0,M,M,1,8,25,66,35879,49,F,F,F,F,F,100,F,F,F,F
64,36,0,0,0,0,64,32,0,11044,0,5,10,M,S,30,8,27,63,37103,14,F,F,F,F,F,0,F,F,F,T
34,48,4,12.995667,129,1,34,36,0,53,0,2,9,M,S,4,14,33,51,44429,37,F,F,F,F,F,120,F,F,F,F
38,36,0,0,0,0,38,32,0,1695,0,5,9,F,S,10,11,43,45,56824,35,F,F,F,F,F,0,F,F,F,F
33,12,1,8.083323,150,1,33,9,1,1794,0,4,10,F,M,2,12,46,41,45864,2,F,F,F,T,F,130,F,F,T,F
39,48,4,11.248,148,2,39,39,0,11362,0,3,11,F,S,13,11,27,61,54716,14,T,F,F,F,F,120,F,F,F,F
50,12,2,0,0,0,50,-1,0,11380,0,2,9,M,S,20,14,21,63,54532,17,T,F,F,F,F,60,T,F,F,F
37,36,3,12.39993,200,3,37,24,1,469,0,4,8,F,M,4,8,40,51,52002,25,F,F,T,F,T,190,F,F,F,F
44,48,4,9.902333,169,1,44,36,1,11548,0,4,9,M,U,19,13,26,59,52733,36,F,F,F,F,F,220,F,F,F,F
16,48,0,0,0,0,16,35,1,11565,0,3,11,M,S,0,16,26,56,54243,2,T,F,F,F,F,100,F,F,F,T
33,36,2,8.665667,299,1,33,24,0,769,0,2,10,M,M,1,10,19,69,68382,47,F,F,F,F,F,60,F,F,F,F
38,0,0,0,0,0,38,-5,1,5471,0,3,10,F,M,8,9,20,69,54304,5,T,T,F,F,T,100,F,F,F,T
40,12,0,0,0,0,40,8,0,5504,0,3,9,M,S,8,9,22,67,36405,9,F,F,F,T,F,0,F,F,F,F
46,36,2,9.215667,249,1,46,32,0,5520,0,5,10,F,M,15,11,23,64,66704,6,F,F,F,F,F,60,F,F,F,F
30,36,0,0,0,0,30,34,2,11814,0,6,11,M,S,0,10,44,44,41497,13,F,F,T,F,F,200,T,F,F,T
58,12,0,0,0,0,58,5,2,11831,0,7,6,F,M,28,9,41,48,72258,43,T,F,F,F,F,200,F,F,F,F
41,36,0,0,0,0,41,31,0,1012,0,2,11,F,U,14,8,33,57,38068,43,T,F,F,F,F,0,F,T,F,F
36,12,0,0,0,0,36,8,1,5606,0,2,9,F,U,8,13,36,49,58877,43,F,T,F,F,F,100,F,T,T,F
44,36,4,8.60899,109,2,44,32,0,5656,0,1,11,F,M,13,8,32,58,55140,22,F,F,F,F,F,120,F,F,F,F
31,0,0,0,0,0,31,-5,0,12080,0,1,8,M,S,2,14,38,47,51309,2,F,F,T,F,T,0,F,F,F,F
49,0,2,0,0,0,49,-1,2,12333,0,6,9,M,M,20,7,43,49,67995,17,F,F,T,F,F,260,F,F,F,F
18,12,0,0,0,0,18,11,0,12366,0,3,8,M,S,0,4,30,64,40287,32,F,F,F,F,F,0,F,T,F,F
33,0,0,0,0,0,33,-4,2,1416,0,6,11,M,U,5,13,37,48,42662,50,T,F,F,T,F,200,F,F,F,F
48,36,2,8.348,148,2,48,27,0,12450,0,5,9,M,U,19,12,27,59,24450,18,T,T,F,F,F,60,T,F,F,F
39,24,0,0,0,0,39,17,1,6208,0,6,7,F,M,7,11,25,63,33861,28,F,F,F,F,F,100,F,T,F,T
25,24,0,0,0,0,25,12,4,1707,0,3,10,F,S,0,16,32,50,50159,15,F,F,T,F,F,400,F,F,F,F
40,0,0,0,0,0,40,-1,4,6258,0,1,0,F,S,9,22,38,38,44992,19,F,F,F,F,T,400,F,F,F,F
40,24,0,0,0,0,40,11,0,6275,0,3,7,F,S,10,11,43,45,56824,29,F,F,F,T,F,0,F,T,T,F
52,24,0,0,0,0,52,19,1,6390,0,4,9,M,M,21,14,27,58,56608,13,F,F,F,F,T,100,F,F,F,F
13,24,0,0,0,0,13,18,2,6407,0,1,11,F,S,0,16,24,59,50177,36,T,F,F,F,F,200,F,F,T,F
39,0,0,0,0,0,39,-6,1,1975,0,3,10,F,M,13,7,39,52,30933,36,F,F,F,F,T,100,F,F,F,F
29,36,0,0,0,0,29,33,1,449,0,3,8,F,S,0,10,36,52,43935,47,F,F,F,F,T,100,F,F,F,F
59,36,0,0,0,0,59,30,0,6592,0,7,9,F,S,32,11,42,45,46931,44,F,F,F,F,T,0,F,F,F,F
40,48,0,0,0,0,40,40,0,6706,0,3,0,F,S,13,11,27,61,54716,44,T,F,F,T,F,0,F,F,F,F
57,24,2,7.582333,349,1,57,21,0,515,0,4,5,F,U,31,8,32,59,56249,52,F,F,F,T,F,60,F,F,F,F
28,36,0,0,0,0,28,26,1,6757,0,1,8,M,S,0,13,47,38,50205,3,F,F,F,F,F,100,F,F,F,F
54,36,4,10.928667,362,3,54,33,0,7110,0,6,8,M,S,26,8,31,59,33597,22,T,F,F,F,F,120,F,F,F,F
43,12,4,9.049,249,1,43,10,0,7176,0,4,11,M,M,13,10,27,61,57415,27,F,F,F,F,F,120,F,F,F,F
46,0,0,0,0,0,46,-5,1,1266,0,4,11,F,S,18,10,36,53,47995,45,T,F,F,F,T,100,F,F,F,T
35,36,0,0,0,0,35,23,1,11594,0,6,10,F,S,0,14,39,45,49921,20,T,F,F,F,F,100,F,F,F,T
36,24,3,7.624,124,1,36,19,4,11635,0,1,9,M,M,4,15,34,49,49274,48,T,F,F,F,F,490,F,F,F,F
35,0,0,0,0,0,35,-6,0,11749,0,1,11,M,S,5,7,39,52,55425,3,F,F,F,F,F,0,F,F,F,F
50,36,0,0,0,0,50,23,0,11753,0,5,9,M,U,19,12,27,59,24450,18,F,F,F,F,F,0,F,F,F,F
54,0,0,0,0,0,54,-6,0,7294,0,6,7,F,S,28,16,43,40,43932,47,F,F,F,F,F,0,F,F,F,F
52,24,0,0,0,0,52,11,3,10684,0,4,9,M,U,21,9,28,61,44227,27,T,F,F,F,F,300,F,F,F,F
27,36,7,14.872637,506,4,27,32,0,1586,0,2,11,M,S,0,15,31,52,42752,5,F,F,F,F,F,210,F,F,F,F
49,24,0,0,0,0,49,15,1,1620,0,6,10,M,U,18,9,25,65,35796,9,F,F,T,F,F,100,F,F,F,F
39,24,1,9.579,179,1,39,17,0,10719,0,5,8,M,S,10,14,34,51,56046,28,F,F,F,F,F,30,F,F,T,F
60,24,6,10.214657,248,3,60,13,2,10853,0,5,10,F,M,29,14,25,59,59812,13,T,F,F,F,F,380,F,F,F,F
24,0,1,0,0,0,24,-4,0,1669,0,6,10,F,S,0,7,33,58,65263,17,F,F,F,F,F,30,F,T,F,F
42,0,0,0,0,0,42,-2,3,12012,0,5,9,M,M,11,8,35,55,53548,32,F,F,F,F,F,300,F,F,F,T
32,48,0,0,0,0,32,38,1,12192,0,1,9,F,S,1,16,39,43,29078,8,F,F,F,T,F,100,F,F,F,F
34,48,0,0,0,0,34,38,1,10918,0,1,10,F,S,5,9,42,47,65852,52,F,F,F,T,F,100,F,F,F,F
38,48,0,0,0,0,38,36,0,10955,0,2,8,M,M,6,9,28,61,40295,24,F,F,F,F,F,0,F,F,F,F
24,36,0,0,0,0,24,33,0,11002,0,5,0,M,S,0,4,30,64,40287,5,F,F,F,F,F,0,F,F,F,F
35,36,0,0,0,0,35,33,0,1968,0,1,10,M,M,3,14,32,53,45384,34,F,F,T,F,F,0,F,F,T,F
48,48,4,10.49697,97,3,48,35,0,12237,0,7,5,F,U,20,11,37,50,41325,51,F,F,F,F,F,120,F,F,F,F
35,24,0,0,0,0,35,13,0,12401,0,1,8,F,M,4,9,39,50,66781,30,T,F,F,F,F,0,F,T,F,F
44,48,0,0,0,0,44,40,0,11254,0,2,7,M,U,17,6,30,62,58487,17,F,T,F,F,F,0,F,T,F,F
49,24,0,0,0,0,49,20,0,16174,0,1,11,F,M,18,11,24,63,57643,19,T,F,T,F,F,0,F,F,T,F
19,0,0,0,0,0,19,-1,2,12603,0,6,11,M,S,0,14,29,55,69766,49,T,F,F,F,F,200,F,F,F,F
51,24,0,0,0,0,51,17,0,7364,0,7,8,M,M,24,11,36,52,58579,15,F,T,F,F,F,0,T,T,F,F
35,24,0,0,0,0,35,13,1,7371,0,1,10,F,S,5,9,42,47,65852,12,F,F,T,T,F,100,F,F,F,F
18,48,0,0,0,0,18,37,0,11353,0,2,10,M,S,0,4,30,64,40287,9,F,F,F,F,F,0,F,F,F,F
23,24,0,0,0,0,23,15,1,11473,0,1,10,F,S,0,10,29,59,63015,33,F,F,F,F,F,100,F,F,F,F
49,36,0,0,0,0,49,29,0,16542,0,1,11,F,U,17,14,25,59,37053,45,F,F,F,F,F,0,F,F,F,F
55,36,0,0,0,0,55,29,1,16595,0,3,9,M,M,25,8,35,56,69260,23,F,F,F,F,T,100,F,T,F,F
61,12,2,0,0,0,61,0,1,11740,0,6,8,M,M,28,12,45,42,61366,2,F,F,F,F,T,160,F,F,F,T
34,48,2,10.995657,229,2,34,36,0,7625,0,1,10,M,U,4,10,20,69,65343,3,F,F,F,T,F,60,F,T,F,T
41,48,0,0,0,0,41,36,0,16760,0,3,9,F,U,16,8,38,52,47326,41,F,F,F,F,F,0,F,F,T,F
55,36,1,12.799,299,1,55,27,1,16827,0,7,9,M,U,29,11,22,65,48428,23,T,F,F,F,F,130,F,T,F,T
54,12,2,0,0,0,54,0,3,11954,0,2,9,F,S,22,11,29,58,64334,33,F,F,F,F,F,360,F,F,F,F
52,0,0,0,0,0,52,-4,7,7957,0,2,9,F,M,20,8,41,49,45691,23,F,F,F,F,F,700,F,F,F,F
65,36,0,0,0,0,65,28,7,16912,0,7,9,F,U,38,13,30,56,42708,43,F,F,F,F,F,700,F,F,F,F
31,48,0,0,0,0,31,40,0,16929,0,4,10,M,U,1,13,32,54,31926,25,F,F,F,F,F,0,F,F,F,F
33,0,0,0,0,0,33,-5,0,16979,0,3,11,F,U,6,14,44,40,56458,24,F,F,T,F,F,0,F,F,F,T
75,36,0,0,0,0,75,26,0,17060,0,7,11,F,M,47,9,46,43,50682,41,F,F,F,F,F,0,F,F,F,F
32,12,0,0,0,0,32,5,0,12057,0,3,11,M,U,1,13,32,54,31926,36,F,T,F,F,F,0,F,F,F,F
32,12,2,9.25449,355,2,32,6,4,8089,0,6,0,F,M,3,10,41,47,36839,44,F,T,T,F,F,460,F,F,F,F
16,36,0,0,0,0,16,24,1,8175,0,5,8,F,S,0,11,18,69,43220,50,F,T,F,F,F,100,F,F,F,T
43,12,14,9.978,378,2,43,7,1,17193,0,3,9,F,S,15,9,41,49,57797,31,T,F,F,T,F,520,F,F,F,F
41,12,3,10.842323,109,2,41,10,4,8359,0,5,0,M,S,13,7,39,52,47383,36,T,F,F,F,F,490,F,F,F,F
32,24,2,9.009667,443,2,32,15,3,12241,0,6,5,F,M,2,11,29,58,67261,7,F,F,F,F,F,360,F,F,F,F
20,36,4,7.525667,59,1,20,30,0,12389,0,3,8,F,S,0,7,43,49,67905,39,F,F,F,F,F,120,F,F,F,F
34,48,0,0,0,0,34,35,3,17529,0,3,9,F,M,5,10,25,64,38009,25,F,F,F,F,F,300,F,F,F,F
64,24,0,0,0,0,64,23,0,8716,0,6,7,F,U,33,11,14,73,52907,51,F,F,F,F,F,0,F,F,F,F
49,36,2,9.91999,120,1,49,35,0,12574,0,1,9,F,S,18,16,28,54,47398,50,F,F,F,F,F,60,F,F,F,F
23,36,1,9.804,104,1,23,23,3,17713,0,3,7,M,S,0,15,65,19,45799,6,F,F,F,F,F,330,F,F,F,F
16,36,4,8.79099,91,2,16,24,0,17798,0,6,10,F,S,0,7,27,64,37502,7,F,F,T,F,F,120,F,F,F,F
44,0,1,0,0,0,44,-3,2,8743,0,5,10,M,M,17,10,24,64,67397,50,F,F,F,F,F,230,F,F,F,T
69,24,6,12.103637,137,3,69,14,7,8825,0,3,11,M,M,40,12,32,55,61410,6,T,F,F,F,F,880,F,F,F,F
35,36,2,7.337323,4,1,35,32,0,8918,0,4,11,M,U,3,9,43,46,58861,1,T,F,T,F,F,60,F,F,F,F
41,36,0,0,0,0,41,33,0,8961,0,1,6,M,U,12,13,45,41,78162,20,F,F,F,T,F,0,F,F,F,F
38,0,0,0,0,0,38,-3,1,7394,0,5,10,M,S,10,10,27,61,59742,17,F,F,F,F,F,100,F,F,F,T
43,36,2,9.869,69,1,43,25,1,7459,0,5,11,F,M,15,9,42,47,41576,52,F,F,F,F,F,160,F,F,F,F
36,36,0,0,0,0,36,31,0,7542,0,1,10,F,M,9,15,27,56,32563,9,F,F,F,T,F,0,F,F,F,F
35,48,3,11.16899,69,2,35,35,0,8977,0,5,0,M,S,8,9,22,67,36405,43,F,F,F,F,F,90,T,F,F,F
39,12,0,0,0,0,39,6,0,9184,0,1,10,F,S,12,7,28,63,43626,26,F,F,F,F,F,0,F,F,F,F
82,48,0,0,0,0,82,41,0,9193,0,4,7,F,U,53,10,49,39,59420,45,T,F,F,F,F,0,F,T,F,F
11,24,0,0,0,0,11,14,0,7629,0,2,9,F,S,0,7,33,58,65263,27,F,F,F,F,F,0,F,F,F,F
50,0,1,0,0,0,50,-4,0,7695,0,5,9,M,U,17,6,30,62,58487,33,F,F,F,F,F,30,F,F,T,F
43,12,3,13.42199,122,2,43,5,2,9361,0,6,7,M,U,17,10,39,50,51008,51,F,F,T,F,F,290,F,F,F,F
51,12,0,0,0,0,51,5,1,9393,0,1,0,F,M,18,14,44,40,56762,10,F,F,F,F,F,100,F,F,F,F
49,12,2,12.64199,42,2,49,10,3,13085,0,6,8,F,M,18,10,33,55,48807,13,T,F,F,F,F,360,F,F,F,F
46,24,5,8.48498,185,2,46,14,3,7929,0,5,0,F,M,15,7,40,52,28978,24,F,T,F,F,F,450,F,F,F,F
40,48,0,0,0,0,40,38,0,2234,0,4,11,F,S,13,11,27,61,54716,24,F,F,T,F,F,0,F,F,F,F
29,12,4,10.304667,338,2,29,9,0,8144,0,2,9,M,S,0,4,30,64,40287,15,F,F,F,F,F,120,F,F,F,F
38,0,0,0,0,0,38,-5,2,2302,0,5,10,M,M,9,7,23,68,57561,4,F,F,T,T,F,200,F,F,F,F
38,0,0,0,0,0,38,-7,4,2382,0,5,0,F,M,9,14,26,59,38063,9,T,F,F,F,F,400,F,F,F,F
50,36,2,11.869,169,1,50,31,2,13585,0,2,0,M,M,18,17,44,37,48205,40,F,F,T,F,T,260,F,F,T,F
23,36,0,0,0,0,23,25,1,8361,0,2,11,F,S,0,10,36,52,43935,43,F,F,F,F,F,100,F,F,F,F
29,24,4,10.44197,142,3,29,22,0,8364,0,6,1,F,S,0,7,27,64,37502,40,F,F,F,F,F,120,F,F,F,F
51,12,0,0,0,0,51,6,2,8445,0,2,8,F,U,19,7,38,54,64317,39,T,F,F,T,F,200,F,F,F,F
48,36,0,0,0,0,48,33,1,2850,0,4,7,M,U,18,9,25,65,35796,27,F,F,F,F,F,100,F,F,T,F
42,24,0,0,0,0,42,20,1,13935,0,1,10,M,S,12,10,36,53,72513,3,F,F,F,F,F,100,T,T,F,F
56,24,2,11.399,599,1,56,17,1,8781,0,3,0,M,U,25,22,49,27,43990,38,F,F,F,F,F,160,F,F,F,F
44,0,0,0,0,0,44,-3,0,8913,0,4,10,M,S,16,9,29,60,59799,9,F,F,F,F,F,0,F,F,F,F
23,48,3,11.641323,208,2,23,37,2,3070,0,2,9,M,S,0,14,53,31,54532,38,T,F,F,F,F,290,F,F,F,F
47,24,0,0,0,0,47,21,1,14220,0,5,10,F,M,17,16,46,36,49127,46,F,F,F,F,F,100,F,F,F,F
42,12,5,13.701323,368,3,42,9,3,3395,0,2,9,F,M,14,12,24,62,35121,7,T,T,F,F,F,450,F,F,F,F
42,36,0,0,0,0,42,30,0,9131,0,6,10,M,S,17,12,24,62,47588,41,F,F,F,F,F,0,F,F,F,F
49,36,0,0,0,0,49,34,1,14436,0,7,9,F,M,21,8,41,50,42003,10,F,F,T,F,F,100,F,F,T,F
39,36,0,0,0,0,39,26,1,14539,0,2,0,F,M,8,9,20,69,54304,40,F,F,F,T,F,100,F,T,F,F
31,36,1,7.405667,139,1,31,25,0,3463,0,6,11,M,U,6,9,23,67,80647,8,F,F,F,F,F,30,F,F,F,T
51,36,0,0,0,0,51,26,0,3636,0,2,6,F,S,18,16,28,54,47398,6,F,F,F,T,F,0,F,F,F,F
49,0,0,0,0,0,49,-5,1,14654,0,2,10,F,M,18,14,44,40,56762,17,F,F,T,F,F,100,F,F,F,F
49,12,0,0,0,0,49,6,2,9213,0,3,8,F,M,20,7,29,63,34495,41,T,T,T,F,F,200,F,T,F,F
36,36,0,0,0,0,36,28,0,9263,0,5,9,M,S,7,13,18,67,56482,48,F,F,F,T,F,0,F,T,F,F
30,36,0,0,0,0,30,31,3,7684,0,2,11,F,M,3,7,33,59,47532,30,F,F,F,F,F,300,F,F,F,F
38,0,1,0,0,0,38,-1,2,7820,0,2,0,F,U,14,9,42,47,47179,17,F,F,T,F,F,230,F,F,F,F
33,24,2,7.765667,399,1,33,17,2,2296,0,3,0,M,M,7,8,35,55,55140,2,F,T,T,F,T,260,F,T,F,F
31,36,0,0,0,0,31,27,1,2297,0,6,10,M,S,0,14,32,53,63861,40,T,T,F,F,F,100,F,F,F,F
40,24,0,0,0,0,40,23,0,2344,0,4,8,M,U,14,11,43,45,48564,7,T,F,F,T,F,0,F,F,F,F
23,36,0,0,0,0,23,34,2,2495,0,1,11,M,S,0,6,21,71,17418,50,F,F,F,T,F,200,F,F,F,F
50,12,0,0,0,0,50,8,4,2529,0,6,9,F,S,20,17,15,67,32924,32,F,F,F,F,F,400,F,F,F,F
40,36,0,0,0,0,40,35,1,9747,0,6,0,M,M,13,9,38,51,38650,34,F,F,F,F,F,100,F,F,F,F
53,24,0,0,0,0,53,12,1,9804,0,4,8,M,M,26,12,18,69,42550,44,F,F,F,F,F,100,F,F,F,F
47,24,2,8.695667,129,1,47,15,5,2664,0,6,7,F,S,15,12,51,36,49729,31,T,F,F,F,F,560,F,F,F,F
36,48,0,0,0,0,36,37,1,2749,0,3,9,M,M,7,6,31,61,79287,16,T,F,F,F,F,100,F,F,T,F
51,36,2,10.609,109,1,51,23,2,8523,0,7,9,M,U,26,12,44,43,36609,36,F,T,F,F,F,260,F,F,F,F
34,0,1,0,0,0,34,-3,3,8603,0,4,0,M,M,2,9,21,68,48788,18,F,F,F,F,F,330,F,F,F,F
30,24,2,8.549,49,1,30,14,0,10304,0,3,7,M,S,0,4,30,64,40287,40,T,F,F,F,F,60,F,F,F,F
64,12,0,0,0,0,64,6,0,2982,0,3,9,F,M,35,9,39,51,39989,45,T,T,F,F,F,0,F,F,F,F
62,24,0,0,0,0,62,13,1,3014,0,3,11,F,M,35,11,29,58,58289,10,F,F,F,F,T,100,F,F,F,F
38,12,0,0,0,0,38,5,0,3046,0,4,8,F,U,7,10,32,57,48329,36,F,F,F,F,F,0,F,F,F,F
21,36,0,0,0,0,21,33,0,3133,0,2,10,M,S,0,15,31,52,42752,20,F,F,F,F,F,0,F,T,T,F
58,24,3,12.952333,219,1,58,20,3,3330,0,6,9,M,U,28,9,31,59,37836,30,F,F,F,F,F,390,F,F,F,F
54,36,3,9.007323,174,2,54,26,2,8972,0,6,0,M,M,27,13,44,42,65244,48,F,T,F,T,F,290,F,F,F,F
45,36,0,0,0,0,45,25,2,21318,0,3,0,F,M,16,12,43,43,56497,39,T,T,F,F,F,200,F,F,T,F
35,48,4,11.203313,270,3,35,36,1,3347,0,2,11,M,S,7,8,28,63,58009,1,T,F,T,F,F,220,F,T,F,T
34,24,0,0,0,0,34,23,0,9124,0,3,4,F,M,5,6,38,54,37098,10,T,F,F,F,F,0,F,F,T,F
41,0,0,0,0,0,41,-3,0,3599,0,4,7,F,U,11,13,33,52,46755,14,F,F,F,F,F,0,F,T,F,F
45,48,3,7.34999,150,1,45,37,0,3667,0,2,11,F,S,19,16,16,67,52368,1,T,F,F,T,T,90,F,F,T,F
45,24,1,11.355667,89,1,45,16,1,3766,0,3,7,F,S,9,8,34,57,51244,12,F,F,F,F,F,130,F,F,F,F
37,12,4,9.150617,284,2,37,5,0,3784,0,3,8,F,U,6,14,44,40,56458,29,F,F,F,F,F,120,T,F,F,F
59,12,0,0,0,0,59,0,0,9341,0,2,7,M,U,28,14,36,49,43490,11,F,T,F,F,F,0,F,F,F,F
47,36,1,10.849,349,1,47,24,1,2136,0,5,8,M,S,16,14,35,50,48993,20,F,F,F,F,F,130,F,F,F,F
36,12,0,0,0,0,36,10,0,21836,0,5,0,M,S,7,13,18,67,56482,31,F,T,F,F,F,0,F,F,F,F
27,12,4,10.784333,551,4,27,7,0,3818,0,5,7,F,S,0,7,33,58,65263,47,F,F,T,F,F,120,F,F,F,F
51,0,0,0,0,0,51,-6,2,3849,0,7,10,F,S,23,7,18,73,74876,19,T,F,F,F,F,200,F,F,T,F
56,24,3,11.326333,193,2,56,13,3,2369,0,3,9,F,U,25,9,19,70,38953,10,F,F,F,F,T,390,F,F,F,F
40,36,0,0,0,0,40,23,1,4050,0,6,11,F,M,9,15,22,62,43897,17,T,F,T,F,F,100,F,F,F,F
35,24,0,0,0,0,35,12,4,2489,0,6,11,F,M,5,5,28,66,54811,29,F,F,F,F,F,400,F,F,F,F
42,0,1,0,0,0,42,-2,3,16088,0,3,0,M,U,14,11,30,57,47761,12,F,F,F,F,F,330,F,T,F,F
17,48,0,0,0,0,17,37,1,16136,0,4,0,M,S,0,16,26,56,54243,27,F,F,F,F,F,100,F,F,F,F
49,36,0,0,0,0,49,31,0,16163,0,4,9,M,U,20,17,47,34,36701,27,F,F,F,F,F,0,F,F,F,T
37,36,2,8.199,199,1,37,32,0,2656,0,6,9,F,S,7,4,36,58,55328,17,T,F,F,F,F,60,F,F,F,F
